Unnamed: 0,id,entry_idx,course_code,course_id,num_ratings,useful,easy,liked,num_reviews,review_text,rating_category,rating,source,type,token_list,num_token,rating_bin,rating_cat,length_bin,sample_criteria,nss_labels
0,2_1_794,0,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,go to office hours and practice,liked course,1.0,data2_14810,course review,"['go', 'to', 'office', 'hours', 'and', 'practice']",6,[1.0],Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]","Labels: Learning opportunities, Assessment and feedback, Academic staff and"
1,2_2_794,1,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"One of my least favourite courses. Although things were nicely organized, Racket was such an annoying language to use. The one tangible benefit I felt after using Racket was feeling more comfortable with recursion.",disliked course,0.0,data2_14810,course review,"['One', 'of', 'my', 'least', 'favourite', 'courses', '.', 'Although', 'things', 'were', 'nicely', 'organized', ',', 'Racket', 'was', 'such', 'an', 'annoying', 'language', 'to', 'use', '.', 'The', 'one', 'tangible', 'benefit', 'I', 'felt', 'after', 'using', 'Racket', 'was', 'feeling', 'more', 'comfortable', 'with', 'recursion', '.']",38,[0.0],Neg,"(21.0, 41.0]","Neg_(21.0, 41.0]","Labels: Learning community, Learning resources, Student Union and related"
2,2_3_794,2,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"It starts with a very low pace but after midterm, it gets really fast and I cannot understand the content while reaching the end of term. Racket is restricted by so many things so I feel I lose the freedom of coding. The assignments are extremely hard after midterm, I spent a whole day on them but I can just solve the easiest one. The only positive impression that I have is that the design recipe weighs half so I pass this course successfully.",disliked course,0.0,data2_14810,course review,"['It', 'starts', 'with', 'a', 'very', 'low', 'pace', 'but', 'after', 'midterm', ',', 'it', 'gets', 'really', 'fast', 'and', 'I', 'can', 'not', 'understand', 'the', 'content', 'while', 'reaching', 'the', 'end', 'of', 'term', '.', 'Racket', 'is', 'restricted', 'by', 'so', 'many', 'things', 'so', 'I', 'feel', 'I', 'lose', 'the', 'freedom', 'of', 'coding', '.', 'The', 'assignments', 'are', 'extremely', 'hard', 'after', 'midterm', ',', 'I', 'spent', 'a', 'whole', 'day', 'on', 'them', 'but', 'I', 'can', 'just', 'solve', 'the', 'easiest', 'one', '.', 'The', 'only', 'positive', 'impression', 'that', 'I', 'have', 'is', 'that', 'the', 'design', 'recipe', 'weighs', 'half', 'so', 'I', 'pass', 'this', 'course', 'successfully', '.']",91,[0.0],Neg,"(81.0, 101.0]","Neg_(81.0, 101.0]","Labels: Learning community,"
3,2_4_794,3,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Took this in 2018 with no programming experience ever. Started out pretty slow, but I didn't really pay attention and was severely behind. Went to a lot of office hours, but nonetheless caught up and did decently well. After taking more cs courses, racket really is a weird language.",liked course,1.0,data2_14810,course review,"['Took', 'this', 'in', '2018', 'with', 'no', 'programming', 'experience', 'ever', '.', 'Started', 'out', 'pretty', 'slow', ',', 'but', 'I', 'did', ""n't"", 'really', 'pay', 'attention', 'and', 'was', 'severely', 'behind', '.', 'Went', 'to', 'a', 'lot', 'of', 'office', 'hours', ',', 'but', 'nonetheless', 'caught', 'up', 'and', 'did', 'decently', 'well', '.', 'After', 'taking', 'more', 'cs', 'courses', ',', 'racket', 'really', 'is', 'a', 'weird', 'language', '.']",57,[1.0],Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]","Labels: Learning community, Academic staff and support, Organisation and management,"
4,2_5_794,4,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I loved everything about cs 115. Great instructors, fair assignments ( can get tricky but there's a huge amount of office hours to attend ), good engagement and interesting topics! It's seriously well structured and I would recommend it to anyone even with no background in coding.",liked course,1.0,data2_14810,course review,"['I', 'loved', 'everything', 'about', 'cs', '115', '.', 'Great', 'instructors', ',', 'fair', 'assignments', '(', 'can', 'get', 'tricky', 'but', 'there', ""'s"", 'a', 'huge', 'amount', 'of', 'office', 'hours', 'to', 'attend', ')', ',', 'good', 'engagement', 'and', 'interesting', 'topics', '!', 'It', ""'s"", 'seriously', 'well', 'structured', 'and', 'I', 'would', 'recommend', 'it', 'to', 'anyone', 'even', 'with', 'no', 'background', 'in', 'coding', '.']",54,[1.0],Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]","Labels: Covid-19 pandemic, Learning opportunities,"
5,2_6_794,5,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I recommend finding a course with a language that is actually useful. Racket is dumb and never used anywhere. The majority of the course was quite easy, except a couple of concept checks that were RIDICULOUSLY HARD. i wish i had realized sooner that you get 10% of concept checks dropped from your grade. if you understand everything and are getting most things easily but you get stumped on one particular concept check, its probably not your fault and you should skip it, at least for now. the course was very well structured and predictable. expectations were clear and reasonable. it actually was designed to be a correspondence course, so it wasnt an online course that was rushed and slapped together for covid.",liked course,1.0,data2_14810,course review,"['I', 'recommend', 'finding', 'a', 'course', 'with', 'a', 'language', 'that', 'is', 'actually', 'useful', '.', 'Racket', 'is', 'dumb', 'and', 'never', 'used', 'anywhere', '.', 'The', 'majority', 'of', 'the', 'course', 'was', 'quite', 'easy', ',', 'except', 'a', 'couple', 'of', 'concept', 'checks', 'that', 'were', 'RIDICULOUSLY', 'HARD', '.', 'i', 'wish', 'i', 'had', 'realized', 'sooner', 'that', 'you', 'get', '10', '%', 'of', 'concept', 'checks', 'dropped', 'from', 'your', 'grade', '.', 'if', 'you', 'understand', 'everything', 'and', 'are', 'getting', 'most', 'things', 'easily', 'but', 'you', 'get', 'stumped', 'on', 'one', 'particular', 'concept', 'check', ',', 'its', 'probably', 'not', 'your', 'fault', 'and', 'you', 'should', 'skip', 'it', ',', 'at', 'least', 'for', 'now', '.', 'the', 'course', 'was', 'very', 'well', 'structured', 'and', 'predictable', '.', 'expectations', 'were', 'clear', 'and', 'reasonable', '.', 'it', 'actually', 'was', 'designed', 'to', 'be', 'a', 'correspondence', 'course', ',', 'so', 'it', 'wasnt', 'an', 'online', 'course', 'that', 'was', 'rushed', 'and', 'slapped', 'together', 'for', 'covid', '.']",136,[1.0],Pos,"(121.0, 141.0]","Pos_(121.0, 141.0]","Labels: Learning community,"
6,2_7_794,6,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I really enjoyed this course online, being co-taught by 4 professors. There were lots of office hours available to help and all of the TA's and Profs in office hours were helpful and kind. While the programming language used is not useful elsewhere, I think it is easy to understand and helped get the point of the course across. In my opinion, the point of this course is to teach you to think about solving problems and the process to go through, as you are not creating ground-breaking programs. As a student with no prior programming experience, I found this course both useful and easy if you kept up with the content and got help as soon as you needed it. The course was organized well, and the built in questions made sure you were on the right track. The assignments are fair based on what you learn. Go in with an open mind and keep up with the content and you should be just fine.",liked course,1.0,data2_14810,course review,"['I', 'really', 'enjoyed', 'this', 'course', 'online', ',', 'being', 'co-taught', 'by', '4', 'professors', '.', 'There', 'were', 'lots', 'of', 'office', 'hours', 'available', 'to', 'help', 'and', 'all', 'of', 'the', 'TA', ""'s"", 'and', 'Profs', 'in', 'office', 'hours', 'were', 'helpful', 'and', 'kind', '.', 'While', 'the', 'programming', 'language', 'used', 'is', 'not', 'useful', 'elsewhere', ',', 'I', 'think', 'it', 'is', 'easy', 'to', 'understand', 'and', 'helped', 'get', 'the', 'point', 'of', 'the', 'course', 'across', '.', 'In', 'my', 'opinion', ',', 'the', 'point', 'of', 'this', 'course', 'is', 'to', 'teach', 'you', 'to', 'think', 'about', 'solving', 'problems', 'and', 'the', 'process', 'to', 'go', 'through', ',', 'as', 'you', 'are', 'not', 'creating', 'ground-breaking', 'programs', '.', 'As', 'a', 'student', 'with', 'no', 'prior', 'programming', 'experience', ',', 'I', 'found', 'this', 'course', 'both', 'useful', 'and', 'easy', 'if', 'you', 'kept', 'up', 'with', 'the', 'content', 'and', 'got', 'help', 'as', 'soon', 'as', 'you', 'needed', 'it', '.', 'The', 'course', 'was', 'organized', 'well', ',', 'and', 'the', 'built', 'in', 'questions', 'made', 'sure', 'you', 'were', 'on', 'the', 'right', 'track', '.', 'The', 'assignments', 'are', 'fair', 'based', 'on', 'what', 'you', 'learn', '.', 'Go', 'in', 'with', 'an', 'open', 'mind', 'and', 'keep', 'up', 'with', 'the', 'content', 'and', 'you', 'should', 'be', 'just', 'fine', '.']",181,[1.0],Pos,"(161.0, 181.0]","Pos_(161.0, 181.0]","Labels: Covid-19 pandemic, Teaching, Learning opportunities, Assessment and feedback, Academic staff and support, Organisation and management, Student voice CLIIIK"
7,2_8_794,7,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"math student who took this course since I had 0 prior programming experience. the course isn't horribly hard, but if you fall behind or don't understand one lesson, everything following will be super challenging. the course was mostly online completing modules, and my biggest criticism is that solutions for lessons are never posted after they are due which makes it super challenging to do the next week's module if you didn't understand/didnt know how to write a specific code for the week. the racket language used in this course is easy to follow but not very useful and isn't used anywhere. this makes it difficult to find help outside of cs115 profs/ta's/past cs115 students. the course is oddly paced, felt the super easy and simple first half of the course, and then gets unreasonably fast. didn't find any of the profs/ta's answers to questions posted on discussion boards useful at all. because the course was only offered online, I had to essentially had to teach the whole course to myself",disliked course,0.0,data2_14810,course review,"['math', 'student', 'who', 'took', 'this', 'course', 'since', 'I', 'had', '0', 'prior', 'programming', 'experience', '.', 'the', 'course', 'is', ""n't"", 'horribly', 'hard', ',', 'but', 'if', 'you', 'fall', 'behind', 'or', 'do', ""n't"", 'understand', 'one', 'lesson', ',', 'everything', 'following', 'will', 'be', 'super', 'challenging', '.', 'the', 'course', 'was', 'mostly', 'online', 'completing', 'modules', ',', 'and', 'my', 'biggest', 'criticism', 'is', 'that', 'solutions', 'for', 'lessons', 'are', 'never', 'posted', 'after', 'they', 'are', 'due', 'which', 'makes', 'it', 'super', 'challenging', 'to', 'do', 'the', 'next', 'week', ""'s"", 'module', 'if', 'you', 'did', ""n't"", 'understand/didnt', 'know', 'how', 'to', 'write', 'a', 'specific', 'code', 'for', 'the', 'week', '.', 'the', 'racket', 'language', 'used', 'in', 'this', 'course', 'is', 'easy', 'to', 'follow', 'but', 'not', 'very', 'useful', 'and', 'is', ""n't"", 'used', 'anywhere', '.', 'this', 'makes', 'it', 'difficult', 'to', 'find', 'help', 'outside', 'of', 'cs115', ""profs/ta's/past"", 'cs115', 'students', '.', 'the', 'course', 'is', 'oddly', 'paced', ',', 'felt', 'the', 'super', 'easy', 'and', 'simple', 'first', 'half', 'of', 'the', 'course', ',', 'and', 'then', 'gets', 'unreasonably', 'fast', '.', 'did', ""n't"", 'find', 'any', 'of', 'the', 'profs/ta', ""'s"", 'answers', 'to', 'questions', 'posted', 'on', 'discussion', 'boards', 'useful', 'at', 'all', '.', 'because', 'the', 'course', 'was', 'only', 'offered', 'online', ',', 'I', 'had', 'to', 'essentially', 'had', 'to', 'teach', 'the', 'whole', 'course', 'to', 'myself']",190,[0.0],Neg,"(181.0, 201.0]","Neg_(181.0, 201.0]","Labels: Covid-19 pandemic, Teaching, Learning opportunities, Assessment and feedback, Student voice, Academic staff and support, Organisation and management, Learning community, Learning"
8,2_9_794,8,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"The only way to do bad in this course is by not managing ur time properly. This is a mistake I made when we had to work with modules. As long as u properly manage ur time and do assignments and concept checks well before the due date, you will have a great time in this course. Also try finding connections between assignments and try finding some real world applications of racket. Trust me Racket is very useful. The only criticism I have of this course is how the course is taught because it wasn't taught. (this is when I did online.) I had to understand all concepts by myself by basically reading texts. Although There was plenty of opportunity like office hours to ask for help, I only realized that towards the end of the term. Very unfortunate :(",liked course,1.0,data2_14810,course review,"['The', 'only', 'way', 'to', 'do', 'bad', 'in', 'this', 'course', 'is', 'by', 'not', 'managing', 'ur', 'time', 'properly', '.', 'This', 'is', 'a', 'mistake', 'I', 'made', 'when', 'we', 'had', 'to', 'work', 'with', 'modules', '.', 'As', 'long', 'as', 'u', 'properly', 'manage', 'ur', 'time', 'and', 'do', 'assignments', 'and', 'concept', 'checks', 'well', 'before', 'the', 'due', 'date', ',', 'you', 'will', 'have', 'a', 'great', 'time', 'in', 'this', 'course', '.', 'Also', 'try', 'finding', 'connections', 'between', 'assignments', 'and', 'try', 'finding', 'some', 'real', 'world', 'applications', 'of', 'racket', '.', 'Trust', 'me', 'Racket', 'is', 'very', 'useful', '.', 'The', 'only', 'criticism', 'I', 'have', 'of', 'this', 'course', 'is', 'how', 'the', 'course', 'is', 'taught', 'because', 'it', 'was', ""n't"", 'taught', '.', '(', 'this', 'is', 'when', 'I', 'did', 'online', '.', ')', 'I', 'had', 'to', 'understand', 'all', 'concepts', 'by', 'myself', 'by', 'basically', 'reading', 'texts', '.', 'Although', 'There', 'was', 'plenty', 'of', 'opportunity', 'like', 'office', 'hours', 'to', 'ask', 'for', 'help', ',', 'I', 'only', 'realized', 'that', 'towards', 'the', 'end', 'of', 'the', 'term', '.', 'Very', 'unfortunate', ':', '(']",155,[1.0],Pos,"(141.0, 161.0]","Pos_(141.0, 161.0]","Labels: Learning community, Academic staff and support,"
9,2_10_794,9,CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Can be difficult at times, but a very rewarding and fun course. Definitely made me like CS as a non-CS student! Start assignments early and definitely go to office hours. TAs and ISAs are very helpful.",liked course,1.0,data2_14810,course review,"['Can', 'be', 'difficult', 'at', 'times', ',', 'but', 'a', 'very', 'rewarding', 'and', 'fun', 'course', '.', 'Definitely', 'made', 'me', 'like', 'CS', 'as', 'a', 'non-CS', 'student', '!', 'Start', 'assignments', 'early', 'and', 'definitely', 'go', 'to', 'office', 'hours', '.', 'TAs', 'and', 'ISAs', 'are', 'very', 'helpful', '.']",41,[1.0],Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]","Labels: Learning community,"
