Unnamed: 0,id,entry_idx,course_code,course_id,num_ratings,useful,easy,liked,num_reviews,review_text,rating_category,rating,source,type,token_list,num_token,rating_bin,rating_cat,length_bin,sample_criteria,nss_labels
1001,2_1001_375,1001,CS 135,Designing Functional Programs,687,90%,69%,89%,146,"This course was my first taste of programming, ever so take my review with a grain of salt- I thought it was very well done and clearly organized for the Fall 2020 term (online). Recursion was very interesting, and I actually used Racket for CS 241 so I am very grateful for what I learned in this course",liked course,1.0,data2_14810,course review,"['This', 'course', 'was', 'my', 'first', 'taste', 'of', 'programming', ',', 'ever', 'so', 'take', 'my', 'review', 'with', 'a', 'grain', 'of', 'salt-', 'I', 'thought', 'it', 'was', 'very', 'well', 'done', 'and', 'clearly', 'organized', 'for', 'the', 'Fall', '2020', 'term', '(', 'online', ')', '.', 'Recursion', 'was', 'very', 'interesting', ',', 'and', 'I', 'actually', 'used', 'Racket', 'for', 'CS', '241', 'so', 'I', 'am', 'very', 'grateful', 'for', 'what', 'I', 'learned', 'in', 'this', 'course']",63,[1.0],Pos,"(61.0, 81.0]","Pos_(61.0, 81.0]","Labels: Teaching, Learning opportunities, Learning community"
1002,2_1002_375,1002,CS 135,Designing Functional Programs,687,90%,69%,89%,146,Great intro to CS,liked course,1.0,data2_14810,course review,"['Great', 'intro', 'to', 'CS']",4,[1.0],Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]","Labels: Overall, Teaching, Learning community"
1003,2_1003_375,1003,CS 135,Designing Functional Programs,687,90%,69%,89%,146,"Really interesting introduction to Functional programming, lots of useful concepts covered even if Racket itself is not useful at all. As a non-math student the course was managable, but make sure you start the assignments early. FInal was hard but the midterm was easier. Overall I'd recommend this course if you are interested in CS, but be ready to put in the effort.",liked course,1.0,data2_14810,course review,"['Really', 'interesting', 'introduction', 'to', 'Functional', 'programming', ',', 'lots', 'of', 'useful', 'concepts', 'covered', 'even', 'if', 'Racket', 'itself', 'is', 'not', 'useful', 'at', 'all', '.', 'As', 'a', 'non-math', 'student', 'the', 'course', 'was', 'managable', ',', 'but', 'make', 'sure', 'you', 'start', 'the', 'assignments', 'early', '.', 'FInal', 'was', 'hard', 'but', 'the', 'midterm', 'was', 'easier', '.', 'Overall', 'I', ""'d"", 'recommend', 'this', 'course', 'if', 'you', 'are', 'interested', 'in', 'CS', ',', 'but', 'be', 'ready', 'to', 'put', 'in', 'the', 'effort', '.']",71,[1.0],Pos,"(61.0, 81.0]","Pos_(61.0, 81.0]","Labels: Assessment and feedback, Academic"
1004,2_1004_375,1004,CS 135,Designing Functional Programs,687,90%,69%,89%,146,"Overall a useful course as it is a good introduction to functional programming, which I had never explored in-depth before. However, as someone with prior programming experience I found it extremely easy and rather slow-moving. If you have developed reasonable-sized programs or done any competitive programming, take CS 145 instead -- it seems to be far more interesting. The only big annoyance in the course was the extremely strict style guide marking -- I lost points on nearly every assignment for slight formatting errors or for missing one test case. Admittedly learning how to follow a style guide is necessary, but some of the tiny things they go after seem a bit extreme.",liked course,1.0,data2_14810,course review,"['Overall', 'a', 'useful', 'course', 'as', 'it', 'is', 'a', 'good', 'introduction', 'to', 'functional', 'programming', ',', 'which', 'I', 'had', 'never', 'explored', 'in-depth', 'before', '.', 'However', ',', 'as', 'someone', 'with', 'prior', 'programming', 'experience', 'I', 'found', 'it', 'extremely', 'easy', 'and', 'rather', 'slow-moving', '.', 'If', 'you', 'have', 'developed', 'reasonable-sized', 'programs', 'or', 'done', 'any', 'competitive', 'programming', ',', 'take', 'CS', '145', 'instead', '--', 'it', 'seems', 'to', 'be', 'far', 'more', 'interesting', '.', 'The', 'only', 'big', 'annoyance', 'in', 'the', 'course', 'was', 'the', 'extremely', 'strict', 'style', 'guide', 'marking', '--', 'I', 'lost', 'points', 'on', 'nearly', 'every', 'assignment', 'for', 'slight', 'formatting', 'errors', 'or', 'for', 'missing', 'one', 'test', 'case', '.', 'Admittedly', 'learning', 'how', 'to', 'follow', 'a', 'style', 'guide', 'is', 'necessary', ',', 'but', 'some', 'of', 'the', 'tiny', 'things', 'they', 'go', 'after', 'seem', 'a', 'bit', 'extreme', '.']",122,[1.0],Pos,"(121.0, 141.0]","Pos_(121.0, 141.0]","Labels: Overall, Learning opportunities,"
1005,2_1005_375,1005,CS 135,Designing Functional Programs,687,90%,69%,89%,146,"Really good course taught by an excellent prof. It teaches the basics of functional programming; and it's done in Racket, which is different and adds a bit of a challenge.",liked course,1.0,data2_14810,course review,"['Really', 'good', 'course', 'taught', 'by', 'an', 'excellent', 'prof', '.', 'It', 'teaches', 'the', 'basics', 'of', 'functional', 'programming', ';', 'and', 'it', ""'s"", 'done', 'in', 'Racket', ',', 'which', 'is', 'different', 'and', 'adds', 'a', 'bit', 'of', 'a', 'challenge', '.']",35,[1.0],Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]","Labels: Academic staff and support, Learning resources"
1006,2_1006_375,1006,CS 135,Designing Functional Programs,687,90%,69%,89%,146,Was very well executed online! You gain a deeper understanding of how to approach coding problems.,liked course,1.0,data2_14810,course review,"['Was', 'very', 'well', 'executed', 'online', '!', 'You', 'gain', 'a', 'deeper', 'understanding', 'of', 'how', 'to', 'approach', 'coding', 'problems', '.']",18,[1.0],Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]","Labels: Covid-19 pandemic, Teaching, Learning opportunities, Learning community"
1007,2_1007_375,1007,CS 135,Designing Functional Programs,687,90%,69%,89%,146,"Pretty good introduction to university-level CS. The concepts weren't too hard, but I took this in Fall 2021 online so the slides were tedious to go through, and the assignments were also long and tedious. The exams were very fair, though.",liked course,1.0,data2_14810,course review,"['Pretty', 'good', 'introduction', 'to', 'university-level', 'CS', '.', 'The', 'concepts', 'were', ""n't"", 'too', 'hard', ',', 'but', 'I', 'took', 'this', 'in', 'Fall', '2021', 'online', 'so', 'the', 'slides', 'were', 'tedious', 'to', 'go', 'through', ',', 'and', 'the', 'assignments', 'were', 'also', 'long', 'and', 'tedious', '.', 'The', 'exams', 'were', 'very', 'fair', ',', 'though', '.']",48,[1.0],Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]","Labels: Teaching, Learning opportunities, Learning community, Assessment and feedback, Learning resources, Learning community, Learning community, COVID-19 pandemic, Online learning, Ex"
1008,2_1008_375,1008,CS 135,Designing Functional Programs,687,90%,69%,89%,146,"Racket and functional programming aren’t fun, especially if you have previous coding experience, but the concepts we covered were interesting and seems useful. Start the assignments early.",liked course,1.0,data2_14810,course review,"['Racket', 'and', 'functional', 'programming', 'aren', '’', 't', 'fun', ',', 'especially', 'if', 'you', 'have', 'previous', 'coding', 'experience', ',', 'but', 'the', 'concepts', 'we', 'covered', 'were', 'interesting', 'and', 'seems', 'useful', '.', 'Start', 'the', 'assignments', 'early', '.']",33,[1.0],Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]","Labels: Assessment and feedback, Learning community, Learning resources"
1009,2_1009_375,1009,CS 135,Designing Functional Programs,687,90%,69%,89%,146,"Racket takes a while to get used to, but eventually it stops feeling weird to code with. Weekly assignments were straightforward, some were a bit more tricky, but if you stare at them long enough, it will just click eventually.",liked course,1.0,data2_14810,course review,"['Racket', 'takes', 'a', 'while', 'to', 'get', 'used', 'to', ',', 'but', 'eventually', 'it', 'stops', 'feeling', 'weird', 'to', 'code', 'with', '.', 'Weekly', 'assignments', 'were', 'straightforward', ',', 'some', 'were', 'a', 'bit', 'more', 'tricky', ',', 'but', 'if', 'you', 'stare', 'at', 'them', 'long', 'enough', ',', 'it', 'will', 'just', 'click', 'eventually', '.']",46,[1.0],Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]","Labels: Learning resources, Learning community"
1010,2_1010_375,1010,CS 135,Designing Functional Programs,687,90%,69%,89%,146,good for recursion intuition,liked course,1.0,data2_14810,course review,"['good', 'for', 'recursion', 'intuition']",4,[1.0],Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]","Labels: Teaching, Learning opportunities, Learning community"
